ErgId|ErgKurztitelS|ErgArtS|EroObjId
3451|Lovisa Ulrikas kröning|sv:Lovisa_Ulrika|52167;57880;57881;64115;64116;67840;67841;67842;67862;69793
3452|Gustav III:s kröning|sv:Gustav_III|55646;37775;67866;67863;67865;67864;57995;57996;60987;43140;43139;62619;43816;68033;55647;55777;20353
3453|Sofia Magdalenas kröning|sv:Sofia_Magdalena_av_Danmark|67862;63648;63649;67859;67860;67861
3454|Gustav IV Adolfs kröning|sv:Gustav_IV_Adolf|37797;62619;68022;68023;68024;68025;68026;57570;57337;57338;57343;54346;68199
3455|Fredrika Dorotheas kröning|sv:Fredrika_Dorotea_Vilhelmina_av_Baden|67862;55643;55644;55645;64092;64093;54160;54161
3456|Karl XIII:s kröning|sv:Karl_XIII|37778;62619;37793;57650;57651;67873;67874;67875;67876;67877;67878;42581;42582;42583;42584;42585;42586;56040;56041;56042;56043;64028;64029
3457|Hedvig Elisabet Charlottas kröning|sv:Hedvig_Elisabet_Charlotta_av_Holstein-Gottorp|67862;64086;64087;67879;62154;62153
3460|Gustav II Adolfs födelses 300-årsjubileum|sv:Gustav_II_Adolf|46317
3461|Överfarten av Weichsel vid Kleinwerder||67805;67806;67809
3462|Slaget vid Dirschau|sv:Slaget_vid_Dirschau|41607;41608;42766;52441;67807;67808;67810
3464|Gustav Adolfs-jubileet 1832||46343;46344;46345;46346;46347;46348;51962;52039
3465|Slaget vid Breitenfeld|sv:Slaget_vid_Breitenfeld|52175
3467|Kristinas kröning|sv:Drottning_Kristina|42579;42756;45838;45839;45841;45842;45837;42558;53339;42753;45560;45561;45562;45563;45564;45565;45567;42763;42764;43860;42581;42582;42583;42584;42585;42586;45855;45856;45857;45858;45859;45860;42754;40569;45843;45844;45845;45846;45847;45848;45849;45850;45851;45852;45853;45854;42587;42588;42752;55408;55407;44564;44565;45573;56264;61703;42751;64672;55955;55956;57641;55992
3468|Kristinas gravöppning|sv:Drottning_Kristina|69685
