AusId|AusTitelS|AusOrtS|std_year|AusJahrS|AusDatumVonD|AusDatumBisD|AufAufgabeS|AobObjId
861|Utställningen af kinesisk konst och konsthandtverk|Stockholm|1914|1914|||Hallwylska museet|14582
862|L’Automne de la Renaissance|Musée des Beaux-Arts/Ville de Nancy|2013|2013|2013-06-01 00:00:00|2013-08-31 00:00:00|Allmänt|32632
863|”Power of Faith - 450th Anniversary of the Heidelberg Catechism”|Staatliche Schlösser und GärtenBaden-Würtemberg, Heidelberg|2013|2013|2013-05-12 00:00:00|2013-09-15 00:00:00|Allmänt|32631
864|Från Kairo till Konstantinopel|Hallwylska museet|1994-1995||1994-10-05 00:00:00|1995-03-15 00:00:00|Hallwylska museet|7759;7948;7950;7977;15551;17628;18373;18507;18559
865|Islam - Konst och kultur|Statens historiska museum|1985|1985|||Hallwylska museet|7949;18318
866|Den orientaliska mattan i Sverige|Medelhavsmuseet|1998-1999|1998-99|||Hallwylska museet|7949;15556;18318
867|Flygande mattan|Hallwylska museet|2001|2001|||Hallwylska museet|18508;18509;18523
868|Republiken Finland 50 år|Armémuseum, Stockholm|1967|1967|||Allmänt|19544
869|Holländska mästare i svensk ägo|Nationalmuseum, Stockholm|1967|1967|||Allmänt|13423;13426;13890;13891;13893;13897;14055;14111;14120;14129;14130;14132;14136;14149;14162
870|Falskt & Äkta|Nationalmuseum, Stockholm|2004|2004|||Allmänt|14112;14132;14160
871|Bruegels tid. Nederländsk konst 1540-1620|Nationalmuseum, Stockholm|1984-1985|1984-1985|||Allmänt|14137;14170;14172;15635;18038;19530
872|Cranach och den tyska renässansen|Nationalmuseum, Stockholm|1988|1988|||Allmänt|13902;14167
874|Niederländische Mlalerei von Rembrandt bis Vermeer [Nederländskt måleri av Rembrandt och Vermeer]|Schirn Kunsthalle, Frankfurt am Main|1993-1994|1993-1994|||Allmänt|14147
875|Tercentaire de Rembrandt|Frederik Muller & C:ie, Amsterdam|1906|1906|||Allmänt|14104
876|Portraits Anciens|Cercle Artistique de la Haye, Haag|1903|1903|||Allmänt|14158
877|Utställningen af äldre mästares tafvlor ur svenska privatsamlingar|Konstföreningens f. d. lokal, Vestra Trädgårdsgatan 10, Stockholm|1893|1893|1893-05-19 00:00:00|1893-06-15 00:00:00|Allmänt|14165
878|Drottning Christina av Sverige|Nationalmuseum, Stockholm|1966|1966|||Hallwylska museet|18038;18458
879|Retrospektiv utställning af svenska konstnärers arbeten intill år 1875|Konstakademien, Stockholm|1898|1898|||Allmänt|15723
880|Pegasus und Die Kunste|Hamburg|1993|1993|||Allmänt|13447
881|Klädd och oklädd|Nationalmuseum, Stockholm|1996|1996|||Allmänt|14103
882|Netherlands 17th-Century Italianate Landscape Painters|Centraal Museum, Utrecht|1965|1965|||Allmänt|14146
883|The Genius of Rome|Royal Academy of Arts, London; Palazzo Venezia, Rom|2001|2001|2001-01-20 00:00:00|2001-07-31 00:00:00|Allmänt|14146
884|Nils Dardel|Nya Konstgalleriet, Stockholm|1918|1918|||Allmänt|18453
885|Falangen|Liljevalchs konsthall|1922|1922|||Allmänt|18458
886|Jubileumsutställning, Nordisk konst|Göteborg|1923|1923|||Allmänt|18458
887|Nils Dardel från 1904 till 1924|Malmö museum|1963|1963|||Allmänt|18458
888|Nils Dardel|Moderna Museet, Stockholm; Musée des Arts Décoratifs, Paris|1988|1988|||Allmänt|18458
889|Samerna i konsten (vandringsutställning)|Nationalmuseum, Stockholm, 1980; Paris, 1993-94|1980, 1993-94|1980, 1993-94|||Allmänt|15596
890|Solen och nordstjärnan - Frankrike och Sverige på 1700-talet|Nationalmuseum, Stockholm; Grand Palais, Paris|1993-1994|1993-1994|||Hallwylska museet|15597;15601
891|Hemma hos - skildrat i svensk konst genom tre sekler|Blekinge länsmuseum, Karlskrona|1986|1986|||Hallwylska museet|15601
892|Mora i konsten från Carl von Linné till Anders Zorn|Zornmuseet, Mora|1993|1993|||Hallwylska museet|15601
893|Vildmark och folkliv. Svenska Düsseldorfmålare|Lunds konsthall, Lund|1979|1979|||Hallwylska museet|15512;15599;15600;15719;15720;15815
894|Slöjd- och konstutställningen i Lund 1907|Lund|1907|1907|||Hallwylska museet|15600
895|Axel Kulles minnesutställning|Konstakademien, Stockholm|Efter 1908|Efter 1908|||Hallwylska museet|15600
897|"100 innovationer"|Tekniska museet, Stockholm|2012-2015|2012|2012-02-24 00:00:00|2015-03-15 00:00:00|Allmänt|33052
898|Eleganz und raue Sitten - Cornelis Bega|Aachen City Museums och Staatliche Museen zu Berlin (Gemäldegallerie)|2012|2012|2012-03-15 00:00:00|2012-10-02 00:00:00|Hallwylska museet|14120
899|"Supersurrealismen"|Moderna Museet Malmö|2012-2013|2012|2012-09-29 00:00:00|2013-01-27 00:00:00|Livrustkammaren|32631
903|Europa Jagellonica 1386-1572 -  Kunst und Kultur Mitteleuropas zur Zeit der Jagiellonen|Kutná Hora, Warszawa, Potsdam|2012-2013|2012-2013|2012-05-20 00:00:00|2013-06-16 00:00:00|Livrustkammaren|39545
904|Kungl. Husgerådskammaren för Prinsessan Estelles dop|Kungl. Slottet|2012|2012|2012-05-18 00:00:00|2012-05-23 00:00:00|Allmänt|52980
905|”Visual Deception II. Into the Future”|Tokyo, Kobe och Nagoya|2014-2015|2014|2014-08-09 00:00:00|2015-03-22 00:00:00|Allmänt|32632
906|I purpurn född. Kungliga födslar och dop|Livrustkammaren, F-rummet|2012-2013|2012|2012-05-14 00:00:00|2013-01-06 00:00:00|Livrustkammaren|52980
908|Museiprojektet HAMN, Nacka kommun|Nacka|2013-2016|2013|2013-07-01 00:00:00|2016-06-30 00:00:00|Livrustkammaren|41377;60996;44087;39483;63570;63571;66650
909|Dröm och verklighet - Orienten på Skokloster|Skoklosters slott|2001|2001|2001-05-01 00:00:00|2001-10-30 00:00:00|Skoklosters slott|22670;22632;23082;22221;22929;22997;32983;33268;33691;28413;28414;22990;24457;33528;32950;33692;33515;33516;36044;33954;33695;33696;33697;33698;33699;28361;28362;33209;32502;33656;28004;28404;28003;28005;28006;27653;27654;27598;27148;27149;27893;27133;27045;28030;30722;24602;24813;22218;22671;22220;23170;23083;24455;34169;29743;32675;29610;24494;23540;22188;21970;21422;21961;24978;24983;21501;21966;29704;35613;32964;21750;21878
910|Barn i ett gammalt slott - stormakt, skatter, spöken|Skoklosters slott|1997|1997|1997-05-06 00:00:00|1997-10-30 00:00:00|Skoklosters slott|22998;22999;21994;21995;21996;21997;21998;21999;23096;29205;28902;28899;28636;28901;36343;36344;23061;23058;23060;23059;23065;23064;31158;23066;21521;24321;24380;23406;23407;31659;31660;32607;32712;32711;23109;23377;23378;23196;33010;33011;33028;33402;34148;34829;21875;22330;23102;23104;29201;32422;21461;36454;22928;32324;34398;27766;27466;27713;27181;27185;27186;33905;27288;35801;33370;33424;35197;35198;35199;35200;35201;35725;27193;28104;28105;28102;28103;26653;26654;27985;28315;27610;26747;28330;27017;31383;31361;31362;24821;24853;24859;24218;22209;22214;22215;22212;22210;23445;24872;31143;24876;34237;24878;28412;26386;26420;23225;26289;26393;26390;26328;34222;34223;31241;27232;28462;26296;25199;25203;28802;34151;23540;21443;33102;31183;21889;21799;24911;24902;24905;24895;24897;21501;22124;21966;24053;24973;25021;24980;24052;24983;21961;21300;25027;22437;22434;21978;21964;21470;23081;22704;22693;32202;22701;32051;32188;32052;32148;32190;32186;22703;24929;32845;32121;32044;32775;32630;32632;21872;23409;22328;21648;21677;32418;32233;24374;32633
911|Gammalt hantverk inspirerar till nyproduktion, sommaren 2002. En presentation av originalen bakom, underlag till reproduktioner/souvenirer.|Skoklosters slott "Barons garderober"|2002|2002|||Skoklosters slott|21586;21533;21257;21298;21307;22096;21650;23226;26059;26173;26386;29609;29680;23008;29243;30291;29704;21664;21662;21453;29056;30182;21422;21979
912|Linne, Glas och Porslin - till det dukade bordet.|Skoklosters slott, i "Barons garderober", sommaren 2006.|2006|2006|||Skoklosters slott|22351;21970;21259;21245;31110;24983;21652;21978;22414;22122;22769;22771;22772;21575;24389;22951;21454;21457;21458;22432;31103;22793;23281;23024;22131;22754;22755;22034;32402;32403;32404;32406
913|Dukning för Slottskollo, tema mat och dukning.|Skoklosters slott, Antwerpenrundeln, 3D, samt Antwerpen, 3C.|2009-2012|2009|2009-06-01 00:00:00|2012-12-01 00:00:00|Skoklosters slott|23201;22690;22671;24494;22437;21501;21961;21470;21964;21966;21970;21422;21476;24896;24900;24901;24911;24912;24970;24973;24983;23546;23548;23550;25035;32054;22704;22703;24929;32845;22189;32130;32146;32189
915|Vertumnus|Skoklosters slott|2014|2014|||Allmänt|32631;32632;24491;22278;28247;24434;99115;104930;104931;104932;104933;104934;104935;104936;104937;104938;104939;104940;104941;32599;32609;96315;96316
916|Harlekin-utst|Musik/Teatermuseet, Stockholm|2013|2013|2013-05-17 00:00:00|2013-12-31 00:00:00|Livrustkammaren|65862;65863
917|"Stargazer - Karin Mamma Andersson curerar"  (konstnären Karin Mamma Andersson och hennes konstnärliga förebilder)|Sven-Harrys (konstmuseum), Stockholm|2013|2013|2013-01-25 00:00:00|2013-03-31 00:00:00|Livrustkammaren|23011;13902;14193
919|Dräkter från Downton - Herrskap och tjänstefolk i fakta och fiktion|Hallwylska museet|2012-2013|2012|2012-10-05 00:00:00|2013-01-06 00:00:00|Hallwylska museet|19178;16069;15270;8148;8163;133;8363;8292;8785;19332;13567;13632;19180;18664;19067;19307;14033;13785;13385;13937;13825;19306;19099;13739;13826;13968;20157;20208;17720;18062;17636;18134;21105;18135;7451;8279;8074;8271;8258;21153;238;13830;19179;13644;13879;6865;7343;7506;7341;7507;7605;6588;6944;6933;6934;7594;96;18651;18650;18643;18647;18640;18641;18636;18628;18626;18625;18624
